term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.sub_types,EffectType
Sex,Male - Female,-0.017722656932883267,0.002964978121047532,-5.97733143697594,2.268224265405313e-9,28.715789563533015,-0.02353390726508567,-0.011911406600680866,0.022497554613647358,15,1123,Female,Dom,Gpr149.GLU_3,MER
Sex,Male - Female,-0.017722656932883267,0.002964978121047532,-5.97733143697594,2.268224265405313e-9,28.715789563533015,-0.02353390726508567,-0.011911406600680866,0.022497554613647358,7,1119,Female,Dom,Gpr149.GLU_3,MER
Sex,Male - Female,-0.017722656932883267,0.002964978121047532,-5.97733143697594,2.268224265405313e-9,28.715789563533015,-0.02353390726508567,-0.011911406600680866,0.022497554613647358,47,825,Female,Dom,Gpr149.GLU_3,MER
Sex,Male - Female,-9.500408486618917e-4,0.0038341876816565842,-0.24778151920080782,0.8043034546617845,0.3141881781371398,-0.00846491061467592,0.006564828917352138,0.013046815042210278,2,377,Female,Sub,Gpr149.GLU_3,MER
Sex,Male - Female,-9.500408486618917e-4,0.0038341876816565842,-0.24778151920080782,0.8043034546617845,0.3141881781371398,-0.00846491061467592,0.006564828917352138,0.013046815042210278,9,456,Female,Sub,Gpr149.GLU_3,MER
Sex,Male - Female,-9.500408486618917e-4,0.0038341876816565842,-0.24778151920080782,0.8043034546617845,0.3141881781371398,-0.00846491061467592,0.006564828917352138,0.013046815042210278,6,470,Female,Sub,Gpr149.GLU_3,MER
Sex,Male - Female,-0.017722656932883267,0.002964978121047532,-5.97733143697594,2.268224265405313e-9,28.715789563533015,-0.02353390726508567,-0.011911406600680866,0.004774897680764093,5,767,Male,Dom,Gpr149.GLU_3,MER
Sex,Male - Female,-0.017722656932883267,0.002964978121047532,-5.97733143697594,2.268224265405313e-9,28.715789563533015,-0.02353390726508567,-0.011911406600680866,0.004774897680764093,1,1261,Male,Dom,Gpr149.GLU_3,MER
Sex,Male - Female,-0.017722656932883267,0.002964978121047532,-5.97733143697594,2.268224265405313e-9,28.715789563533015,-0.02353390726508567,-0.011911406600680866,0.004774897680764093,8,904,Male,Dom,Gpr149.GLU_3,MER
Sex,Male - Female,-9.500408486618917e-4,0.0038341876816565842,-0.24778151920080782,0.8043034546617845,0.3141881781371398,-0.00846491061467592,0.006564828917352138,0.012096774193548387,10,864,Male,Sub,Gpr149.GLU_3,MER
Sex,Male - Female,-9.500408486618917e-4,0.0038341876816565842,-0.24778151920080782,0.8043034546617845,0.3141881781371398,-0.00846491061467592,0.006564828917352138,0.012096774193548387,13,911,Male,Sub,Gpr149.GLU_3,MER
Sex,Male - Female,-9.500408486618917e-4,0.0038341876816565842,-0.24778151920080782,0.8043034546617845,0.3141881781371398,-0.00846491061467592,0.006564828917352138,0.012096774193548387,7,705,Male,Sub,Gpr149.GLU_3,MER
Status,Sub - Dom,-0.00945073957143708,0.00412947882692888,-2.288603469718152,0.022102402123775258,5.499653017274235,-0.01754436934713839,-0.001357109795735766,0.022497554613647358,15,1123,Female,Dom,Gpr149.GLU_3,MER
Status,Sub - Dom,-0.00945073957143708,0.00412947882692888,-2.288603469718152,0.022102402123775258,5.499653017274235,-0.01754436934713839,-0.001357109795735766,0.022497554613647358,7,1119,Female,Dom,Gpr149.GLU_3,MER
Status,Sub - Dom,-0.00945073957143708,0.00412947882692888,-2.288603469718152,0.022102402123775258,5.499653017274235,-0.01754436934713839,-0.001357109795735766,0.022497554613647358,47,825,Female,Dom,Gpr149.GLU_3,MER
Status,Sub - Dom,-0.00945073957143708,0.00412947882692888,-2.288603469718152,0.022102402123775258,5.499653017274235,-0.01754436934713839,-0.001357109795735766,0.013046815042210278,2,377,Female,Sub,Gpr149.GLU_3,MER
Status,Sub - Dom,-0.00945073957143708,0.00412947882692888,-2.288603469718152,0.022102402123775258,5.499653017274235,-0.01754436934713839,-0.001357109795735766,0.013046815042210278,9,456,Female,Sub,Gpr149.GLU_3,MER
Status,Sub - Dom,-0.00945073957143708,0.00412947882692888,-2.288603469718152,0.022102402123775258,5.499653017274235,-0.01754436934713839,-0.001357109795735766,0.013046815042210278,6,470,Female,Sub,Gpr149.GLU_3,MER
Status,Sub - Dom,0.007321876512784294,0.002537616309543767,2.88533632340213,0.003909957149221357,7.998631488112734,0.0023482399394970663,0.012295513086071522,0.004774897680764093,5,767,Male,Dom,Gpr149.GLU_3,MER
Status,Sub - Dom,0.007321876512784294,0.002537616309543767,2.88533632340213,0.003909957149221357,7.998631488112734,0.0023482399394970663,0.012295513086071522,0.004774897680764093,1,1261,Male,Dom,Gpr149.GLU_3,MER
Status,Sub - Dom,0.007321876512784294,0.002537616309543767,2.88533632340213,0.003909957149221357,7.998631488112734,0.0023482399394970663,0.012295513086071522,0.004774897680764093,8,904,Male,Dom,Gpr149.GLU_3,MER
Status,Sub - Dom,0.007321876512784294,0.002537616309543767,2.88533632340213,0.003909957149221357,7.998631488112734,0.0023482399394970663,0.012295513086071522,0.012096774193548387,10,864,Male,Sub,Gpr149.GLU_3,MER
Status,Sub - Dom,0.007321876512784294,0.002537616309543767,2.88533632340213,0.003909957149221357,7.998631488112734,0.0023482399394970663,0.012295513086071522,0.012096774193548387,13,911,Male,Sub,Gpr149.GLU_3,MER
Status,Sub - Dom,0.007321876512784294,0.002537616309543767,2.88533632340213,0.003909957149221357,7.998631488112734,0.0023482399394970663,0.012295513086071522,0.012096774193548387,7,705,Male,Sub,Gpr149.GLU_3,MER
