Predictor,Estimate,Std.error,z.value,p.value,gene,p.adjust.fdr,lwr,upr
SexMale,-0.32754896313196336,0.021722503251841208,-15.078785319284055,0,Esr1,0,-0.3798617144805142,-0.2752362117834125
StatusSub,0.09840664766883009,0.02549935754457867,3.8591814517990466,2.894288778894083e-4,Esr1,3e-4,0.03699836818500622,0.15981492715265394
SexMale:StatusSub,0.44199773323603836,0.03372855949834695,13.104554117044364,0,Esr1,0,0.3607716551028807,0.523223811369196
SexMale,-0.32754896313196336,0.021722503251841208,-15.078785319284055,0,Ar,0,-0.37988176812235774,-0.27521615814156897
StatusSub,0.09840664766883009,0.02549935754457867,3.8591814517990466,3.3909321650515967e-4,Ar,3e-4,0.036974827850933735,0.15983846748672645
SexMale:StatusSub,0.44199773323603836,0.03372855949834695,13.104554117044364,0,Ar,0,0.36074051778669586,0.5232549486853809
SexMale,-0.32754896313196336,0.021722503251841208,-15.078785319284055,0,Pgr,0,-0.37993189008989803,-0.2751660361740287
StatusSub,0.09840664766883009,0.02549935754457867,3.8591814517990466,3.4440753825393244e-4,Pgr,3e-4,0.03691599126307223,0.15989730407458794
SexMale:StatusSub,0.44199773323603836,0.03372855949834695,13.104554117044364,0,Pgr,0,0.3606626933414761,0.5233327731306006
SexMale,-0.32754896313196336,0.021722503251841208,-15.078785319284055,0,Nr3c1,0,-0.37989212161740565,-0.27520580464652106
StatusSub,0.09840664766883009,0.02549935754457867,3.8591814517990466,4.535626764087253e-4,Nr3c1,5e-4,0.03696267421150268,0.1598506211261575
SexMale:StatusSub,0.44199773323603836,0.03372855949834695,13.104554117044364,0,Nr3c1,0,0.3607244419012562,0.5232710245708205
SexMale,-0.32754896313196336,0.021722503251841208,-15.078785319284055,0,Nr3c2,0,-0.3797981721652744,-0.2752997540986523
StatusSub,0.09840664766883009,0.02549935754457867,3.8591814517990466,3.806359165240414e-4,Nr3c2,4e-4,0.03707295849334796,0.15974033684431221
SexMale:StatusSub,0.44199773323603836,0.03372855949834695,13.104554117044364,0,Nr3c2,0,0.36087031733970393,0.5231251491323728
