term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.np,EffectType
Sex,Male - Female,3.410641190376519e-4,3.410060688271989e-4,1.0001702321916224,0.31722813246149684,1.6564073769255934,-3.272954943732446e-4,0.0010094237324485484,1.0169196188323823e-12,0,1123,Female,Dom,Retn,MER
Sex,Male - Female,3.410641190376519e-4,3.410060688271989e-4,1.0001702321916224,0.31722813246149684,1.6564073769255934,-3.272954943732446e-4,0.0010094237324485484,1.0169196188323823e-12,0,1119,Female,Dom,Retn,MER
Sex,Male - Female,3.410641190376519e-4,3.410060688271989e-4,1.0001702321916224,0.31722813246149684,1.6564073769255934,-3.272954943732446e-4,0.0010094237324485484,1.0169196188323823e-12,0,825,Female,Dom,Retn,MER
Sex,Male - Female,4.0322580407497105e-4,4.031446152666094e-4,1.0002013887952044,0.3172130572912576,1.6564759376486362,-3.869231224088396e-4,0.0011933747305587817,2.37664371405495e-12,0,377,Female,Sub,Retn,MER
Sex,Male - Female,4.0322580407497105e-4,4.031446152666094e-4,1.0002013887952044,0.3172130572912576,1.6564759376486362,-3.869231224088396e-4,0.0011933747305587817,2.37664371405495e-12,0,456,Female,Sub,Retn,MER
Sex,Male - Female,4.0322580407497105e-4,4.031446152666094e-4,1.0002013887952044,0.3172130572912576,1.6564759376486362,-3.869231224088396e-4,0.0011933747305587817,2.37664371405495e-12,0,470,Female,Sub,Retn,MER
Sex,Male - Female,3.410641190376519e-4,3.410060688271989e-4,1.0001702321916224,0.31722813246149684,1.6564073769255934,-3.272954943732446e-4,0.0010094237324485484,3.410641200545715e-4,0,767,Male,Dom,Retn,MER
Sex,Male - Female,3.410641190376519e-4,3.410060688271989e-4,1.0001702321916224,0.31722813246149684,1.6564073769255934,-3.272954943732446e-4,0.0010094237324485484,3.410641200545715e-4,0,1261,Male,Dom,Retn,MER
Sex,Male - Female,3.410641190376519e-4,3.410060688271989e-4,1.0001702321916224,0.31722813246149684,1.6564073769255934,-3.272954943732446e-4,0.0010094237324485484,3.410641200545715e-4,1,904,Male,Dom,Retn,MER
Sex,Male - Female,4.0322580407497105e-4,4.031446152666094e-4,1.0002013887952044,0.3172130572912576,1.6564759376486362,-3.869231224088396e-4,0.0011933747305587817,4.0322580645161475e-4,1,864,Male,Sub,Retn,MER
Sex,Male - Female,4.0322580407497105e-4,4.031446152666094e-4,1.0002013887952044,0.3172130572912576,1.6564759376486362,-3.869231224088396e-4,0.0011933747305587817,4.0322580645161475e-4,0,911,Male,Sub,Retn,MER
Sex,Male - Female,4.0322580407497105e-4,4.031446152666094e-4,1.0002013887952044,0.3172130572912576,1.6564759376486362,-3.869231224088396e-4,0.0011933747305587817,4.0322580645161475e-4,0,705,Male,Sub,Retn,MER
Status,Sub - Dom,1.3597240952225678e-12,2.8159924240366875e-8,4.828578669517234e-5,0.9999614735163047,5.558303768645608e-5,-5.5191077594400284e-8,5.5193797042590725e-8,1.0169196188323823e-12,0,1123,Female,Dom,Retn,MER
Status,Sub - Dom,1.3597240952225678e-12,2.8159924240366875e-8,4.828578669517234e-5,0.9999614735163047,5.558303768645608e-5,-5.5191077594400284e-8,5.5193797042590725e-8,1.0169196188323823e-12,0,1119,Female,Dom,Retn,MER
Status,Sub - Dom,1.3597240952225678e-12,2.8159924240366875e-8,4.828578669517234e-5,0.9999614735163047,5.558303768645608e-5,-5.5191077594400284e-8,5.5193797042590725e-8,1.0169196188323823e-12,0,825,Female,Dom,Retn,MER
Status,Sub - Dom,1.3597240952225678e-12,2.8159924240366875e-8,4.828578669517234e-5,0.9999614735163047,5.558303768645608e-5,-5.5191077594400284e-8,5.5193797042590725e-8,2.37664371405495e-12,0,377,Female,Sub,Retn,MER
Status,Sub - Dom,1.3597240952225678e-12,2.8159924240366875e-8,4.828578669517234e-5,0.9999614735163047,5.558303768645608e-5,-5.5191077594400284e-8,5.5193797042590725e-8,2.37664371405495e-12,0,456,Female,Sub,Retn,MER
Status,Sub - Dom,1.3597240952225678e-12,2.8159924240366875e-8,4.828578669517234e-5,0.9999614735163047,5.558303768645608e-5,-5.5191077594400284e-8,5.5193797042590725e-8,2.37664371405495e-12,0,470,Female,Sub,Retn,MER
Status,Sub - Dom,6.216168639704324e-5,5.280251181206304e-4,0.11772486623040165,0.9062856633811671,0.14196223204947356,-9.727485280519e-4,0.0010970719008459864,3.410641200545715e-4,0,767,Male,Dom,Retn,MER
Status,Sub - Dom,6.216168639704324e-5,5.280251181206304e-4,0.11772486623040165,0.9062856633811671,0.14196223204947356,-9.727485280519e-4,0.0010970719008459864,3.410641200545715e-4,0,1261,Male,Dom,Retn,MER
Status,Sub - Dom,6.216168639704324e-5,5.280251181206304e-4,0.11772486623040165,0.9062856633811671,0.14196223204947356,-9.727485280519e-4,0.0010970719008459864,3.410641200545715e-4,1,904,Male,Dom,Retn,MER
Status,Sub - Dom,6.216168639704324e-5,5.280251181206304e-4,0.11772486623040165,0.9062856633811671,0.14196223204947356,-9.727485280519e-4,0.0010970719008459864,4.0322580645161475e-4,1,864,Male,Sub,Retn,MER
Status,Sub - Dom,6.216168639704324e-5,5.280251181206304e-4,0.11772486623040165,0.9062856633811671,0.14196223204947356,-9.727485280519e-4,0.0010970719008459864,4.0322580645161475e-4,0,911,Male,Sub,Retn,MER
Status,Sub - Dom,6.216168639704324e-5,5.280251181206304e-4,0.11772486623040165,0.9062856633811671,0.14196223204947356,-9.727485280519e-4,0.0010970719008459864,4.0322580645161475e-4,0,705,Male,Sub,Retn,MER
