Sum Sq,Mean Sq,F value,Pr(>F),seurat_clusters,p_adj,Predictor
217.18699599565565,217.18699599565565,14.656031582017553,0.0050299048242091965,0,0.052814000654196565,Sex
358.0213768123726,358.0213768123726,24.1596997165728,0.0011710040760135058,0,0.024591085596283622,Status
5.736287281444059,5.736287281444059,0.3870913503589847,0.5511483109595501,0,0.7597928301086257,Sex:Status
9.372261259392946,9.372261259392946,0.9487054459847482,0.35857618333496816,1,0.6275083208361942,Sex
12.078485099569845,12.078485099569845,1.2226424633354442,0.30098309363044595,1,0.5746040878399423,Status
60.740789278784,60.740789278784,6.1484753772140195,0.03813471704954065,1,0.1704367577453413,Sex:Status
4.859343858574564,4.859343858574564,0.8267458721119186,0.3897860055589957,2,0.6296543166722238,Sex
5.041493775275119,5.041493775275119,0.8577360008454484,0.38146286841583066,2,0.6296543166722238,Status
114.56956208090853,114.56956208090853,19.492325564267926,0.00224136117899875,2,0.0313790565059825,Sex:Status
25.37199981792522,25.37199981792522,10.943725476289638,0.010728055919134859,3,0.075096391433944,Sex
91.654642431501955,91.654642431501955,39.533472039882284,2.3592939564029346e-4,3,0.009909034616892326,Status
19.598120251290222,19.598120251290222,8.45327327055654,0.019665769101179915,3,0.1179946146070795,Sex:Status
0.07304900987431222,0.07304900987431222,0.018028406201321564,0.8965056479514248,4,0.9413309303489962,Sex
1.4386640458694115,1.4386640458694115,0.3550605251295978,0.5677340044708049,4,0.7597928301086257,Status
0.2519659922830468,0.2519659922830468,0.062184898407435005,0.8093587064511348,4,0.8945543597617807,Sex:Status
4.445136894322769,4.445136894322769,0.5659665275023114,0.4734179394453705,5,0.7117078376301069,Sex
34.953805296697126,34.953805296697126,4.450410477128292,0.06791560641273875,5,0.2593141335759116,Status
3.1008620150222073,3.1008620150222073,0.39480991218681377,0.5472969844095532,5,0.7597928301086257,Sex:Status
2.864888601953801e-4,2.864888601953801e-4,2.3009278727904758e-4,0.9882689783930447,6,0.9882689783930447,Sex
8.851500317949297,8.851500317949297,7.109059592646503,0.028526220988449466,6,0.1497626601893597,Status
1.2538068089807846,1.2538068089807846,1.0069916966093935,0.34500768701983103,6,0.6275083208361942,Sex:Status
0.09347484834330615,0.09347484834330615,0.11334335822472706,0.7450308105691441,7,0.8457106498352446,Sex
10.870748636468768,10.870748636468768,13.181376367137771,0.006679067220426327,7,0.05610416465158115,Status
0.46445999166842283,0.46445999166842283,0.5631831037947618,0.47447189175340465,7,0.7117078376301069,Sex:Status
31.223844661002936,31.223844661002936,1.5360125735130048,0.2503361350995403,8,0.5408547001483411,Sex
42.78731775845913,42.78731775845913,2.104861165478859,0.1848842051519818,8,0.4332970852883566,Status
30.208542081683852,30.208542081683852,1.486066208973789,0.25754985721349577,8,0.5408547001483411,Sex:Status
6.29837831291896,6.29837831291896,2.9638929548113753,0.12344636787898293,9,0.4320622875764403,Sex
0.09494380707767185,0.09494380707767185,0.04467868821459642,0.837881240086328,9,0.9023336431698917,Status
0.5390704080846691,0.5390704080846691,0.2536759313730353,0.6280722485822785,9,0.7630935052468985,Sex:Status
2.809394526180711,2.809394526180711,0.21655854679936282,0.6540801473544844,10,0.7630935052468985,Sex
2.853586241489631,2.853586241489631,0.21996500807017658,0.6515821805254207,10,0.7630935052468985,Status
0.018622263495002164,0.018622263495002164,0.0014354731181437084,0.9707056593024397,10,0.9882689783930447,Sex:Status
0.47106178519653297,0.47106178519653297,0.2926392613112104,0.6032667493870356,11,0.7630935052468985,Sex
1.9886974112028715,1.9886974112028715,1.2354450300890338,0.2986356794017659,11,0.5746040878399423,Status
0.5385745253161749,0.5385745253161749,0.3345804227863763,0.5788897753208577,11,0.7597928301086257,Sex:Status
0.8647975271692848,0.8647975271692848,2.5065329691731204,0.1520332820697369,12,0.4332970852883566,Sex
2.0536787413430724,2.0536787413430724,5.952391526969201,0.04058018041555745,12,0.1704367577453413,Status
0.9499682586622689,0.9499682586622689,2.753392193198129,0.13563121427461983,12,0.4332970852883566,Sex:Status
1.0083541766798323,1.0083541766798323,2.0961446739365854,0.1856987508378669,13,0.4332970852883566,Sex
1.0083541766798314,1.0083541766798314,2.0961446739365837,0.1856987508378671,13,0.4332970852883566,Status
1.0083541766798318,1.0083541766798318,2.0961446739365845,0.1856987508378669,13,0.4332970852883566,Sex:Status
