Predictor,Estimate,Std.error,z.value,p.value,neuron.clusters,p.adjust.fdr,lwr,upr
SexMale,-0.48711478490739835,0.06703181278345695,-7.266919462270836,6.874500968478969e-13,0,0,-0.6486392763071878,-0.325590293507609
StatusSub,0.5895982384043486,0.07245376731968238,8.13757876526845,1.1102230246251565e-15,0,0,0.4150086304205015,0.7641878463881956
SexMale:StatusSub,0.050264114179263505,0.10003835147905184,0.502448445382358,0.9459891068537227,0,0.946,-0.19079521529653237,0.29132344365505936
SexMale,-0.48234012643889673,0.0733400366527595,-6.576764185742307,9.845924076046231e-11,1,0,-0.6594180247823963,-0.30526222809539716
StatusSub,-0.13591857958044656,0.08828272951928973,-1.5395828869422126,0.32036076599608154,1,0.3204,-0.34907527975118824,0.07723812059029508
SexMale:StatusSub,0.6670654407265963,0.11665196048744264,5.718424602031482,3.562392070222131e-8,1,0,0.38541185908786835,0.9487190223653243
SexMale,-0.3996034116294937,0.07268673464694246,-5.497611270756168,7.982670002792958e-8,2,0,-0.5751819128519348,-0.22402491040705264
StatusSub,-0.586016273938926,0.10085344808574413,-5.810572519451228,1.1796992271939644e-8,2,0,-0.8296329028055398,-0.34239964507231213
SexMale:StatusSub,0.9940322396484043,0.12635333613588082,7.867083450645249,1.5654144647214707e-14,2,0,0.6888193353825713,1.2992451439142372
SexMale,0.6015345886294773,0.08558538192320286,7.028473497603176,3.574696094688079e-12,3,0,0.39574602578988416,0.8073231514690704
StatusSub,-0.5192338764014387,0.1444579294130841,-3.5943605069726945,9.649895370680284e-4,3,0.0014,-0.8665804561173205,-0.17188729668555697
SexMale:StatusSub,-0.5249054518177676,0.17837113146353176,-2.942771330264759,0.010812596135093333,3,0.0108,-0.953795736246128,-0.09601516738940724
SexMale,-0.02612397552670521,0.09407477495810869,-0.27769373392961255,0.9928273341567561,4,0.9928,-0.2523317788806879,0.2000838278272775
StatusSub,0.12121505540282734,0.11570511492412287,1.0476205436753403,0.6265504000865598,4,0.9928,-0.15700405163687503,0.3994341624425297
SexMale:StatusSub,-0.05962385690209669,0.1519753163640159,-0.39232592718730597,0.9756255264371624,4,0.9928,-0.42505659372277016,0.30580887991857675
SexMale,0.201974467359041,0.10499187212713078,1.923715267354006,0.15561812434751454,5,0.2334,-0.05078900433699379,0.4547379390550758
StatusSub,-0.5614862394220762,0.16996616426964625,-3.303517743280333,0.0034153370669790517,5,0.0102,-0.9706725590986524,-0.15229991974550006
SexMale:StatusSub,-0.1977321097333857,0.21467660772686362,-0.9210696583437882,0.7247410569241528,5,0.7247,-0.7145569225652354,0.31909270309846394
SexMale,0.08612212856932597,0.11327510324448649,0.7602917684695895,0.8279217240548473,6,0.8279,-0.18679154596468525,0.35903580310333716
StatusSub,-0.23537202964327475,0.15968773847244067,-1.4739518005253476,0.35653161985642556,6,0.5622,-0.6201076532381375,0.14936359395158805
SexMale:StatusSub,-0.30264501821871115,0.20975353022284873,-1.4428601887995476,0.37481533290718727,6,0.5622,-0.808004139861222,0.2027141034237997
SexMale,0.046680903737565366,0.1392243112166279,0.33529276122567125,0.9840907474092857,7,0.9841,-0.287187597061235,0.38054940453636577
StatusSub,0.5524090182137279,0.15325242516460685,3.604569504335028,0.0011625794545579993,7,0.0035,0.18490023338752765,0.9199178030399282
SexMale:StatusSub,-0.16552187055285397,0.20308959423468956,-0.8150189633131943,0.7735147054555997,7,0.9841,-0.6525432661873425,0.3214995250816346
SexMale,1.6627848926204167,0.14145441133078113,11.75491719895615,0,8,0,1.3265170821287255,1.999052703112108
StatusSub,-0.4035769529406619,0.26933189752779824,-1.498437268831138,0.31813797279672673,8,0.3181,-1.0438372786894237,0.23668337280809976
SexMale:StatusSub,-1.6704914448182173,0.32582773164369666,-5.126916104995491,4.834777605045026e-6,8,0,-2.4450546195296043,-0.8959282701068304
SexMale,0.2187155310384321,0.1426118918014556,1.5336416078325927,0.31208541314187754,9,0.5839,-0.12341594939738426,0.5608470114742485
StatusSub,-0.2277913276616326,0.20739199630176197,-1.0983612276444312,0.5838831223081189,9,0.5839,-0.725332800739104,0.26975014541583886
SexMale:StatusSub,0.3343250560101322,0.2498223236637412,1.3382513264112095,0.42470252846901557,9,0.5839,-0.2650084242580195,0.9336585362782839
SexMale,-0.18333046823851232,0.15610960587857514,-1.1743701946253715,0.5427841830152973,10,1,-0.559821466106947,0.19316052962992245
StatusSub,0.1575737694934171,0.18147921449192733,0.8682744739366633,0.755083332888298,10,1,-0.280101350957467,0.5952488899443013
SexMale:StatusSub,-0.012785590399336601,0.24570586532076866,-0.05203616276170303,0.999989917094295,10,1,-0.6053567258917694,0.5797855450930962
SexMale,0.3548457253698495,0.19208559266564684,1.8473312883361874,0.1666277491595003,11,0.2499,-0.10251080963933606,0.8122022603790351
StatusSub,0.6362386774095532,0.2197057451647442,2.8958672743513185,0.011457662141990843,11,0.0344,0.11311845305693646,1.15935890176217
SexMale:StatusSub,-0.3884912684158336,0.2805415803418394,-1.384790332835716,0.3787618836540766,11,0.3788,-1.05646185033492,0.27947931350325284
SexMale,1.5098343002558998,0.33594572783986876,4.494280400480564,1.5958477434074858e-5,12,0,0.7013128527301512,2.3183557477816485
StatusSub,-1.544689945259615,1.0449870363882017,-1.4781905339213979,0.3558884133513832,12,0.3559,-4.0596629343162185,0.9702830437969885
SexMale:StatusSub,-2.1537880092814543,1.4539606668366973,-1.4813248105035284,0.354301121402795,12,0.3559,-5.653038886960864,1.3454628683979561
SexMale,21.33341890593576,3995.379910726235,0.005339521993556306,0.9999998116686891,13,1,-9128.559742659807,9171.226580471677
StatusSub,0.8489112212522586,5660.4039731346975,1.4997361059057712e-4,0.9999999999962557,13,1,-12962.146539209029,12963.844361651532
SexMale:StatusSub,-21.974272687079083,6933.49602724837,-0.0031692918840251793,0.9999999606946814,13,1,-15900.501297150082,15856.552751775924
