Type,Df,Sum Sq,Mean Sq,F value,Pr(>F),seurat_clusters,p_adj,Comp.type
Sex        ,1,217.18699599565562,217.18699599565562,14.656031582017558,0.005029904824209196,0,0.05281400065419656,Sex
Status     ,1,358.0213768123727,358.0213768123727,24.159699716572817,0.0011710040760135037,0,0.024591085596283577,Status
Sex:Status ,1,5.736287281444088,5.736287281444088,0.38709135035898684,0.5511483109595491,0,0.7597928301086262,Sex:Status
Sex        1,1,9.372261259392944,9.372261259392944,0.9487054459847478,0.35857618333496816,1,0.6275083208361942,Sex
Status     1,1,12.078485099569845,12.078485099569845,1.222642463335444,0.30098309363044595,1,0.5746040878399423,Status
Sex:Status 1,1,60.74078927878394,60.74078927878394,6.148475377214012,0.03813471704954072,1,0.1704367577453413,Sex:Status
Sex        2,1,4.859343858574564,4.859343858574564,0.8267458721119187,0.3897860055589957,2,0.6296543166722238,Sex
Status     2,1,5.041493775275111,5.041493775275111,0.8577360008454472,0.381462868415831,2,0.6296543166722238,Status
Sex:Status 2,1,114.56956208090853,114.56956208090853,19.49232556426793,0.0022413611789987484,2,0.03137905650598248,Sex:Status
Sex        3,1,25.37199981792521,25.37199981792521,10.943725476289643,0.010728055919134838,3,0.07509639143394387,Sex
Status     3,1,91.65464243150203,91.65464243150203,39.533472039882355,2.3592939564029194e-4,3,0.009909034616892262,Status
Sex:Status 3,1,19.598120251290222,19.598120251290222,8.453273270556549,0.019665769101179863,3,0.11799461460707918,Sex:Status
Sex        4,1,0.07304900987431114,0.07304900987431114,0.018028406201321297,0.8965056479514256,4,0.941330930348997,Sex
Status     4,1,1.4386640458694173,1.4386640458694173,0.3550605251295992,0.5677340044708041,4,0.7597928301086262,Status
Sex:Status 4,1,0.2519659922830482,0.2519659922830482,0.06218489840743536,0.8093587064511343,4,0.8945543597617801,Sex:Status
Sex        5,1,4.445136894322769,4.445136894322769,0.5659665275023112,0.4734179394453705,5,0.7117078376301061,Sex
Status     5,1,34.95380529669715,34.95380529669715,4.450410477128294,0.06791560641273871,5,0.25931413357591143,Status
Sex:Status 5,1,3.100862015022201,3.100862015022201,0.39480991218681294,0.5472969844095535,5,0.7597928301086262,Sex:Status
Sex        6,1,2.8648886019537294e-4,2.8648886019537294e-4,2.300927872790418e-4,0.988268978393045,6,0.988268978393045,Sex
Status     6,1,8.851500317949299,8.851500317949299,7.109059592646503,0.028526220988449466,6,0.1497626601893597,Status
Sex:Status 6,1,1.2538068089807806,1.2538068089807806,1.00699169660939,0.34500768701983203,6,0.6275083208361942,Sex:Status
Sex        7,1,0.09347484834330587,0.09347484834330587,0.11334335822472684,0.7450308105691443,7,0.8457106498352449,Sex
Status     7,1,10.870748636468772,10.870748636468772,13.181376367137787,0.006679067220426307,7,0.05610416465158098,Status
Sex:Status 7,1,0.4644599916684237,0.4644599916684237,0.5631831037947633,0.4744718917534041,7,0.7117078376301061,Sex:Status
Sex        8,1,31.223844661002946,31.223844661002946,1.5360125735130064,0.25033613509953995,8,0.5408547001483409,Sex
Status     8,1,42.787317758459146,42.787317758459146,2.1048611654788614,0.1848842051519816,8,0.43329708528835614,Status
Sex:Status 8,1,30.208542081683863,30.208542081683863,1.4860662089737906,0.25754985721349566,8,0.5408547001483409,Sex:Status
Sex        9,1,6.2983783129189534,6.2983783129189534,2.963892954811371,0.12344636787898318,9,0.4320622875764411,Sex
Status     9,1,0.09494380707767273,0.09494380707767273,0.04467868821459681,0.8378812400863274,9,0.902333643169891,Status
Sex:Status 9,1,0.5390704080846719,0.5390704080846719,0.25367593137303646,0.6280722485822778,9,0.763093505246898,Sex:Status
Sex        10,1,2.80939452618072,2.80939452618072,0.21655854679936337,0.6540801473544839,10,0.763093505246898,Sex
Status     10,1,2.853586241489636,2.853586241489636,0.21996500807017683,0.6515821805254206,10,0.763093505246898,Status
Sex:Status 10,1,0.01862226349500255,0.01862226349500255,0.0014354731181437372,0.9707056593024392,10,0.988268978393045,Sex:Status
Sex        11,1,0.47106178519653247,0.47106178519653247,0.2926392613112101,0.6032667493870358,11,0.763093505246898,Sex
Status     11,1,1.9886974112028728,1.9886974112028728,1.2354450300890347,0.2986356794017657,11,0.5746040878399423,Status
Sex:Status 11,1,0.5385745253161738,0.5385745253161738,0.3345804227863757,0.5788897753208581,11,0.7597928301086262,Sex:Status
Sex        12,1,0.8647975271692844,0.8647975271692844,2.506532969173119,0.15203328206973707,12,0.43329708528835614,Sex
Status     12,1,2.053678741343073,2.053678741343073,5.952391526969201,0.04058018041555745,12,0.1704367577453413,Status
Sex:Status 12,1,0.9499682586622682,0.9499682586622682,2.7533921931981267,0.13563121427462002,12,0.43329708528835614,Sex:Status
Sex        13,1,1.0083541766798323,1.0083541766798323,2.096144673936586,0.18569875083786685,13,0.43329708528835614,Sex
Status     13,1,1.0083541766798314,1.0083541766798314,2.096144673936584,0.1856987508378669,13,0.43329708528835614,Status
Sex:Status 13,1,1.0083541766798314,1.0083541766798314,2.096144673936584,0.1856987508378669,13,0.43329708528835614,Sex:Status
